robustness_run_id,condition,source_final_run_id,run_id,model,variant,split,level,n,n_real,n_fake,real_prevalence,fake_prevalence,threshold,reason,roc_auc,ap_fake,ap_real,eer,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,hter,confusion_matrix
mp3_optimized_20260919T175101Z,mp3_128,final_binary_20260919T164939Z,classical_20260919T110356Z,RBF-SVM,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.5847561880627183,,0.9001056728266192,0.9878186398882595,0.6370479973650376,0.17777777777777778,0.8378411814737494,0.7251306938819205,0.2074074074074074,0.11691022964509394,0.16215881852625066,"[[107, 28], [168, 1269]]"
mp3_optimized_20260919T175101Z,mp3_128,final_binary_20260919T164939Z,classical_20260919T110356Z,RBF-SVM,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.6615054850320587,,0.9464237516869095,0.9939133541188327,0.809823285332767,0.13333333333333333,0.8878317588843905,0.8364508393285373,0.17777777777777778,0.0465587044534413,0.11216824111560954,"[[37, 8], [23, 471]]"
mp3_optimized_20260919T175101Z,mp3_128,final_binary_20260919T164939Z,cnn_revised_20260919T110440Z,Log-Mel CNN,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.142173171043396,,0.8853991082244388,0.9863807392363084,0.5453234825463852,0.18023660403618647,0.7301554163767108,0.7248561056413136,0.4888888888888889,0.05080027835768963,0.2698445836232892,"[[69, 66], [73, 1364]]"
mp3_optimized_20260919T175101Z,mp3_128,final_binary_20260919T164939Z,cnn_revised_20260919T110440Z,Log-Mel CNN,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.2410693895071745,,0.914574898785425,0.9902917264252649,0.6991330858417023,0.17777777777777778,0.8030139451192082,0.8331413995071635,0.37777777777777777,0.016194331983805668,0.1969860548807917,"[[28, 17], [8, 486]]"
mp3_optimized_20260919T175101Z,mp3_128,final_binary_20260919T164939Z,mert_binary_20260919T110741Z,Frozen MERT + LR,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.5685665621681771,,0.9737158174179746,0.9972901890516117,0.8590093886842938,0.08141962421711901,0.9173045697054047,0.8438182045439249,0.1111111111111111,0.054279749478079335,0.08269543029459522,"[[120, 15], [78, 1359]]"
mp3_optimized_20260919T175101Z,mp3_128,final_binary_20260919T164939Z,mert_binary_20260919T110741Z,Frozen MERT + LR,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.5887511404871456,,0.9851102114260009,0.9984220621001632,0.9352548615697348,0.06666666666666667,0.9444219523166891,0.9150351524322962,0.08888888888888889,0.022267206477732792,0.055578047683310844,"[[41, 4], [11, 483]]"
mp3_optimized_20260919T175101Z,mp3_64,final_binary_20260919T164939Z,classical_20260919T110356Z,LogisticRegression,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.5676900245181252,,0.8502590272945179,0.983292967114855,0.3559417688380748,0.23799582463465552,0.7763318642233047,0.5894097173753222,0.17037037037037037,0.27696590118302017,0.22366813577669525,"[[112, 23], [398, 1039]]"
mp3_optimized_20260919T175101Z,mp3_64,final_binary_20260919T164939Z,classical_20260919T110356Z,LogisticRegression,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.5634561570614823,,0.9000899685110212,0.9882501002528807,0.6352780232925339,0.17777777777777778,0.8007647323436797,0.6146206896551725,0.15555555555555556,0.242914979757085,0.19923526765632027,"[[38, 7], [120, 374]]"
mp3_optimized_20260919T175101Z,mp3_64,final_binary_20260919T164939Z,classical_20260919T110356Z,RBF-SVM,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.5847561880627183,,0.8568571354931829,0.9822392624999624,0.525139675657937,0.21481481481481482,0.7869403850614707,0.6351444279254388,0.2222222222222222,0.20389700765483645,0.21305961493852932,"[[105, 30], [293, 1144]]"
mp3_optimized_20260919T175101Z,mp3_64,final_binary_20260919T164939Z,classical_20260919T110356Z,RBF-SVM,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.6615054850320587,,0.9071974808816914,0.9889180726611324,0.7171669921330315,0.15555555555555556,0.8584570400359874,0.7227203245340702,0.15555555555555556,0.12753036437246965,0.14154295996401262,"[[38, 7], [63, 431]]"
mp3_optimized_20260919T175101Z,mp3_64,final_binary_20260919T164939Z,cnn_revised_20260919T110440Z,Log-Mel CNN,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.142173171043396,,0.7086471300806723,0.9619130733169707,0.1610047840625069,0.3549060542797495,0.5283151627619268,0.5329620992705333,0.9037037037037037,0.03966597077244259,0.47168483723807314,"[[13, 122], [57, 1380]]"
mp3_optimized_20260919T175101Z,mp3_64,final_binary_20260919T164939Z,cnn_revised_20260919T110440Z,Log-Mel CNN,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.2410693895071745,,0.6839406207827261,0.956038020897853,0.2761009262592209,0.4089068825910931,0.5494826810616285,0.5667808219178082,0.8888888888888888,0.012145748987854251,0.45051731893837155,"[[5, 40], [6, 488]]"
mp3_optimized_20260919T175101Z,mp3_64,final_binary_20260919T164939Z,mert_binary_20260919T110741Z,Frozen MERT + LR,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.5685665621681771,,0.9450346658419032,0.9942537412247159,0.7181915239298388,0.13082811412665274,0.8339828346091394,0.8099319680658125,0.28888888888888886,0.04314544189283229,0.1660171653908606,"[[96, 39], [62, 1375]]"
mp3_optimized_20260919T175101Z,mp3_64,final_binary_20260919T164939Z,mert_binary_20260919T110741Z,Frozen MERT + LR,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.5887511404871456,,0.9605038236617185,0.9957138982273696,0.8451689923819963,0.1111111111111111,0.8484705353126406,0.8708920187793427,0.28888888888888886,0.01417004048582996,0.15152946468735942,"[[32, 13], [7, 487]]"
